Vtrue,Rtrue
-1,1
-0.947756024,1.015927285
-0.892500333,1.030985181
-0.833424123,1.045135653
-0.769602646,1.058258244
-0.699967164,1.070264747
-0.622792067,1.081000132
-0.5368037,1.090363603
-0.439657579,1.098167379
-0.329139637,1.104237494
-0.201948984,1.108309062
-0.054783492,1.110099938
0.116025412,1.109249336
0.313345333,1.105342971
0.537780018,1.097945835
0.785342584,1.086645193
1.044860529,1.071153594
1.29915894,1.051424772
1.527001269,1.027731969
1.714555716,1.000713084
1.850688449,0.971018478
1.941546189,0.939522705
1.995554419,0.906965827
2.025080301,0.87383747
2.039151026,0.840454887
2.043289963,0.80701068
2.041837483,0.773655931
2.036966492,0.740466884
2.030038936,0.707491095
2.021737155,0.674754789
2.012592985,0.642273221
2.002715058,0.610050411
1.992583819,0.578101064
1.982344863,0.546430181
1.9718535,0.515034368
1.961454757,0.483924379
1.950841104,0.453091083
1.940173306,0.422539872
1.929433304,0.392270533
1.918559506,0.36228146
1.907575473,0.332573762
1.896515306,0.303147961
1.885372369,0.274004207
1.874164273,0.24514784
1.862886528,0.216578945
1.851527706,0.188293689
1.840087807,0.160292072
1.828566831,0.132574095
1.816964778,0.105139758
1.805281647,0.07798906
1.79351744,0.051122001
1.781672155,0.024538582
1.769745793,-0.001761197
1.75770645,-0.027766458
1.745536433,-0.053471168
1.733271755,-0.078887606
1.720912414,-0.104015772
1.708458411,-0.128855667
1.695909746,-0.15340729
1.683266418,-0.177670641
1.670528429,-0.20164572
1.657695777,-0.225332527
1.644768463,-0.248731063
1.631663009,-0.271822937
1.61826668,-0.294583315
1.60472821,-0.317044962
1.591047598,-0.339207878
1.577224846,-0.361072063
1.563259952,-0.382637517
1.549152918,-0.403904239
1.534903742,-0.424872231
1.520512426,-0.445541492
1.505978968,-0.465912022
1.491215479,-0.485964959
1.475956286,-0.50564329
1.460463103,-0.525003179
1.44473593,-0.544044626
1.428774767,-0.562767631
1.412579614,-0.581172194
1.39615047,-0.599258314
1.379487337,-0.617025993
1.362558012,-0.6344683
1.344906335,-0.651487062
1.326881684,-0.66815747
1.308484058,-0.684479525
1.289713457,-0.700453227
1.270569883,-0.716078575
1.251053334,-0.73135557
1.230693302,-0.746202099
1.209578972,-0.760633727
1.187855937,-0.774675863
1.165524196,-0.788328505
1.142583749,-0.801591655
1.118338577,-0.814346563
1.093151387,-0.826655112
1.067051434,-0.838522292
1.039983967,-0.849940152
1.011121459,-0.860788484
0.980904831,-0.871131338
0.949334082,-0.880968712
0.915361748,-0.890167677
0.879420775,-0.898783177
0.841031943,-0.906760517
0.799572739,-0.914028514
0.754836026,-0.920567525
0.705842408,-0.926273086
0.652633353,-0.931154215
0.593829618,-0.935078937
0.528191118,-0.93793265
0.4550192,-0.939653404
0.37234546,-0.940068911
0.278339133,-0.939017948
0.170700787,-0.936297713
0.046966745,-0.931679469
-0.095763144,-0.924863579
-0.259860282,-0.915520575
-0.446465002,-0.903296598
-0.65422788,-0.8878355
-0.877501917,-0.868834839
-1.105241395,-0.846131819
-1.32257525,-0.81979
-1.513903636,-0.790100654
-1.667426481,-0.757604053
-1.779851349,-0.722985059
-1.855810254,-0.686919964
-1.903471713,-0.649965698
-1.931771715,-0.612543796
-1.945937724,-0.574857513
-1.950441571,-0.537153503
-1.948462441,-0.499544906
-1.943186826,-0.462163332
-1.934761109,-0.425002501
-1.925394,-0.388150936
-1.914763595,-0.351579144
-1.903778995,-0.315322549
-1.891871754,-0.279373959
-1.879427605,-0.243757918
-1.866387503,-0.208480203
-1.852736361,-0.173531583
-1.83865061,-0.138919095
-1.82464292,-0.104663193
-1.81038644,-0.070750838
-1.795885412,-0.03718292
-1.781231075,-0.003978601
-1.766373961,0.028872509
-1.751314071,0.061370409
-1.736092378,0.093503563
-1.720698266,0.125274959
-1.705125596,0.156686326
-1.689311978,0.187717949
-1.673257221,0.218369768
-1.656995319,0.248652523
-1.64052627,0.278566216
-1.623850076,0.308110846
-1.606966736,0.337286412
-1.589843076,0.366086857
-1.572131669,0.39444872
-1.55410572,0.422421904
-1.535765227,0.450006409
-1.517110192,0.477202234
-1.498140615,0.50400938
-1.478856494,0.530427846
-1.458939353,0.556388158
-1.43834903,0.581881554
-1.417287934,0.606952189
-1.395756064,0.631600063
-1.373753422,0.655825177
-1.351280006,0.67962753
-1.328298026,0.703000704
-1.304051658,0.72581633
-1.279035961,0.748158489
-1.253250934,0.77002718
-1.226696578,0.791422405
-1.198872412,0.812267797
-1.169616547,0.832538657
-1.13918231,0.852273637
-1.107479312,0.871460525
-1.07356105,0.889971447
-1.037906959,0.907871174
-1.000236708,0.925126083
-0.959652109,0.941628443
-0.916581346,0.957429611
-0.869646799,0.972380647
-0.81915801,0.986515522
-0.763314659,0.999653673
-0.702546741,1.011839939
-0.63491052,1.02289854
-0.559155454,1.032720772
-0.473996581,1.041197207
-0.377005208,1.048126971
-0.265815572,1.053312638
-0.137397359,1.056496951
0.011579349,1.057374658
0.184441949,1.055576802
0.383319381,1.050699258
0.607732583,1.042319746
0.852289041,1.030059855
1.104580485,1.013690888
1.346302087,0.993243469
1.558185945,0.969055659
1.726171199,0.941749554
1.846455341,0.912119237
1.925595332,0.880944775
1.974780339,0.84884346
2.003438667,0.81621081
2.018089733,0.783343978
2.023635424,0.750424014
2.02311882,0.717570437
2.018941795,0.684875281
2.012347354,0.652383101
2.004151747,0.620120971
1.994882143,0.588102178
1.985334139,0.556354333
1.975331804,0.524871302
1.965310442,0.493668151
1.954948048,0.462738143
1.944417708,0.432087962
1.933616761,0.401716793
1.922604402,0.371627378
1.911463362,0.341821403
1.900288788,0.312300697
1.889125072,0.283064566
1.877880695,0.254112294
1.866555657,0.225443883
1.855149959,0.197059332
1.843667256,0.168958983
1.832135573,0.141145455
1.820533969,0.113616791
1.808862446,0.086372991
1.797121003,0.059414055
1.785309641,0.032739983
1.773397638,0.006354996
1.761396459,-0.01974248
1.74931274,-0.045553359
1.737146479,-0.071077638
1.724897678,-0.09631532
1.71253523,-0.121261949
1.700037507,-0.145914431
1.687434146,-0.170277007
1.674725146,-0.194349678
1.661910507,-0.218132444
1.648966,-0.241618869
1.635742025,-0.264769222
1.622380158,-0.287621104
1.608880397,-0.310174514
1.595242743,-0.332429453
1.581467196,-0.354385919
1.567553756,-0.376043915
1.553502423,-0.397403438
1.539313196,-0.418464491
1.524986077,-0.439227071
1.510521065,-0.45969118
1.495867338,-0.479846522
1.480659845,-0.499619147
1.465216964,-0.519073551
1.449538696,-0.538209733
1.43362504,-0.557027693
1.417475997,-0.575527432
1.401091565,-0.593708949
1.384471746,-0.611572245
1.36761654,-0.629117319
1.350136782,-0.646257631
1.332199832,-0.663030397
1.31389134,-0.679454664
1.295211304,-0.695530432
1.276159726,-0.7112577
1.256736606,-0.72663647
1.236705927,-0.741622654
1.215816786,-0.756169386
1.194339004,-0.770327065
1.17227258,-0.784095694
1.149617514,-0.79747527
1.125970385,-0.810400985
1.101195457,-0.822851034
1.075514551,-0.834861051
1.048927665,-0.846431037
1.020751677,-0.857463946
0.991112573,-0.867977675
0.960128831,-0.877989056
0.927056776,-0.887403432
0.89190316,-0.896221664
0.854558338,-0.90443288
0.814146769,-0.911936071
0.770792754,-0.918747158
0.723245437,-0.924729877
0.67184476,-0.929923548
0.614997601,-0.934177125
0.551939677,-0.937418598
0.481712039,-0.939559358
0.40258324,-0.940449406
0.312753176,-0.939928621
0.210134909,-0.937815737
0.092292755,-0.933888422
-0.043513485,-0.927877732
-0.200011038,-0.919454364
-0.378814576,-0.908275269
-0.579631867,-0.893980859
-0.79848699,-0.876241809
-1.026254511,-0.85483717
-1.24929029,-0.829736965
-1.451198061,-0.801158563
-1.618759634,-0.769567095
-1.746063822,-0.735590027
-1.833756952,-0.699929288
-1.889979578,-0.663217541
-1.923973471,-0.625913758
-1.942761119,-0.588325633
-1.949251037,-0.550574599
-1.95003602,-0.512951373
-1.944978726,-0.47543643
-1.938312009,-0.438211298
-1.929093445,-0.401219113
-1.919459784,-0.364547491
-1.908351655,-0.328163161
-1.896629713,-0.292100054
-1.884037292,-0.256354615
-1.870925753,-0.22094417
-1.857579235,-0.18588218
-1.843768724,-0.151156814
-1.82949422,-0.116768071
-1.815199054,-0.082737908
-1.800740608,-0.04905926
-1.786062252,-0.015729324
-1.771224348,0.017245304
-1.756282284,0.049858568
-1.741186387,0.082115898
-1.725932035,0.114016326
-1.710461451,0.145547753
-1.694807666,0.176717096
-1.678970681,0.207524354
-1.662789242,0.237934889
-1.64631025,0.267958777
-1.629592186,0.297608578
-1.61263505,0.326884293
-1.595438841,0.355785922
-1.57800356,0.384313465
-1.560329206,0.412466922
-1.542294683,0.440219872
-1.523594278,0.467505617
-1.504532563,0.494390606
-1.485109537,0.520874839
-1.465325202,0.546958317
-1.445179556,0.57264104
-1.4246726,0.597923007
-1.403804334,0.622804218
-1.382019727,0.647182319
-1.359532471,0.671096718
-1.336453374,0.694567848
-1.312782438,0.71759571
-1.288519661,0.740180304
-1.263171365,0.762241209
-1.236682803,0.783769509
-1.209268327,0.804800121
-1.180927938,0.825333044
-1.151050191,0.845279826
-1.119583823,0.864633052
-1.086731687,0.883422065
-1.051980482,0.901580987
-1.014910975,0.919056008
-0.975831532,0.935886708
-0.933292206,0.951901006
-0.887838785,0.967163678
-0.838992044,0.981628102
-0.78554212,0.995174304
-0.726777526,1.007734215
-0.662032489,1.019243249
-0.589722232,1.029567322
-0.508368994,1.038578325
-0.416293685,1.046134547
-0.310881438,1.05202049
-0.189573674,1.056020587
-0.04885661,1.057824821
0.114360039,1.057119322
0.302846351,1.053483366
0.516851095,1.046515718
0.754110972,1.035822812
1.004905658,1.021104444
1.252930536,1.002271996
1.478579344,0.979536042
1.665278347,0.953413104
1.80528538,0.924631679
1.900853838,0.893972569
1.960823876,0.862125056
1.99571432,0.829611427
2.014249408,0.796782557
2.022337064,0.763856968
2.023346434,0.730955986
2.020360351,0.698193411
2.0147691,0.665621723
2.007324409,0.633269812
1.998672008,0.601161158
1.989254752,0.569311563
1.979295587,0.537727766
1.96886666,0.50641069
1.958347864,0.475373485
1.947787871,0.444617727
1.937041069,0.414138667
1.926368519,0.383944795
1.915582912,0.354031245
1.904675514,0.324398233
1.893710233,0.295048039
